,iou,detect
TCGA_HT_7882_19970125_5.tif,0.0,Mis_detect
TCGA_HT_7882_19970125_6.tif,0.0,Mis_detect
TCGA_HT_7882_19970125_7.tif,0.0,Mis_detect
TCGA_HT_7882_19970125_8.tif,0.0,Mis_detect
TCGA_HT_7882_19970125_9.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_1.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_10.tif,31.103835360149674,Detect
TCGA_HT_7884_19980913_11.tif,41.79856115107914,Detect
TCGA_HT_7884_19980913_12.tif,42.01520912547528,Detect
TCGA_HT_7884_19980913_13.tif,100,All_TN
TCGA_HT_7884_19980913_14.tif,100,All_TN
TCGA_HT_7884_19980913_15.tif,100,All_TN
TCGA_HT_7884_19980913_16.tif,100,All_TN
TCGA_HT_7884_19980913_17.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_18.tif,100,All_TN
TCGA_HT_7884_19980913_19.tif,100,All_TN
TCGA_HT_7884_19980913_2.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_20.tif,100,All_TN
TCGA_HT_7884_19980913_3.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_4.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_5.tif,0.0,Mis_detect
TCGA_HT_7884_19980913_6.tif,23.17241379310345,Detect
TCGA_HT_7884_19980913_7.tif,23.49518908033117,Detect
TCGA_HT_7884_19980913_8.tif,23.908712189820687,Detect
TCGA_HT_7884_19980913_9.tif,41.350333236742976,Detect
TCGA_HT_8018_19970411_1.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_10.tif,9.773866417997436,Detect
TCGA_HT_8018_19970411_11.tif,4.562355542156568,Detect
TCGA_HT_8018_19970411_12.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_13.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_14.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_15.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_16.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_17.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_18.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_19.tif,100,All_TN
TCGA_HT_8018_19970411_2.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_20.tif,100,All_TN
TCGA_HT_8018_19970411_3.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_4.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_5.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_6.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_7.tif,30.95829195630586,Detect
TCGA_HT_8018_19970411_8.tif,42.16169847737508,Detect
TCGA_HT_8018_19970411_9.tif,18.709730038332925,Detect
TCGA_HT_8105_19980826_1.tif,100,All_TN
TCGA_HT_8105_19980826_10.tif,100,All_TN
TCGA_HT_8105_19980826_11.tif,100,All_TN
TCGA_HT_8105_19980826_12.tif,100,All_TN
TCGA_HT_8105_19980826_13.tif,100,All_TN
TCGA_HT_8105_19980826_14.tif,0.0,No_detect
TCGA_HT_8105_19980826_15.tif,0.0,No_detect
TCGA_HT_8105_19980826_16.tif,0.0,No_detect
TCGA_HT_8105_19980826_17.tif,19.52520672179248,Detect
